triangle; 5; 0; 0; 0
bspline3; 1; 0; 0; 0
test06_sums4__sum1; 1; 3; 0; 3
test06_sums4__sum2; 1; 3; 0; 3
test05_nonlin1__test2; 1; 0; 0; 0
test05_nonlin1__r4; 2; 0; 0; 0
test04_dqmom9; 9; 2; 2; 0
test03_nonlin2; 2; 1; 1; 0
test02_sum8; 7; 0; 0; 0
test01_sum3; 3; 5; 3; 0
nonlin1; 1; 0; 0; 0
nonlin2; 2; 0; 0; 0
verhulst; 1; 0; 0; 0
x_by_xy; 1; 0; 0; 0
predatorPrey; 1; 0; 0; 0
hypot32; 1; 0; 0; 0
hypot; 1; 0; 0; 0
sec4_example; 2; 0; 0; 0
intro_example; 1; 0; 0; 0
intro_example_mixed; 1; 0; 0; 0
smartRoot; 9; 0; 0; 0
sqrt_add; 2; 0; 0; 0
sqroot; 4; 0; 0; 0
squareRoot3; 2; 1; 0; 1
squareRoot3Invalid; 2; 1; 0; 1
carbonGas; 3; 0; 0; 0
turbine1; 5; 1; 0; 1
turbine2; 2; 2; 0; 2
turbine3; 5; 1; 0; 1
delta4; 5; 7; 3; 2
kepler0; 4; 6; 3; 1
cav10; 1; 1; 1; 0
floudas; 0; 1; 0; 1
floudas1; 1; 17; 5; 12
floudas3; 1; 2; 0; 2
sum; 3; 5; 3; 0
doppler1; 6; 0; 0; 0
doppler2; 6; 0; 0; 0
doppler3; 6; 0; 0; 0
rigidBody1; 4; 3; 1; 2
rigidBody2; 3; 4; 0; 4
himmilbeau; 2; 5; 0; 5
matrixDeterminant; 9; 5; 5; 0
matrixDeterminant2; 9; 5; 5; 0
